,0
0,-0.030561424903627232
1,0.07666667122477078
2,-0.00020550282416254007
3,0.01942053196318505
4,0.009243396269952076
5,0.005951102790266782
6,0.009470734687693216
7,0.0075519404318973304
8,-0.007136539645924533
9,0.020335118380715445
10,0.01668962465490531
11,0.01670484039430309
12,0.0055184186787247125
13,0.0012404158268064513
14,0.023743698442843852
15,-0.030492254544976616
16,-0.008234999159808964
17,0.010751034078489985
18,-0.009315205522735903
19,0.0010011237275391327
20,-0.004342629373460971
21,-0.0017367715479941204
22,0.0019062961404034962
23,-0.0020836244582370655
24,0.007272761259502936
25,-0.0040351987495858
26,0.009904878725691235
27,0.013316436484791971
28,-0.002727249427954881
29,-0.014105589679869635
30,0.011290303097788446
31,0.005455074710072116
32,-0.014070440433248121
33,-0.005493897302616402
34,-0.01439057399797894
35,0.0047361383070054774
36,-0.01126204572627576
37,0.01413697129912772
38,0.010024180568989127
39,0.006404736301429903
40,-0.001618247114180349
41,0.005713793211475915
42,0.0006055589188149746
43,-0.019513516827689648
44,0.009610680623880263
45,0.005220929599247137
46,0.00959582201366005
47,0.0002824314609968237
48,0.0056978697808609535
49,-0.0040328369955753285
50,0.009463467187453833
51,0.00822597144543491
52,0.021731050382955086
53,0.015022989699551514
54,0.015043287104754333
55,0.010958157536679947
56,0.016143134441768403
57,0.012923742525826176
58,-0.010384062460899735
59,0.002463183660188273
60,0.020140216922327703
61,0.02956794266108176
62,-0.0011402721750973788
63,-0.030447167600681224
64,0.009383116052672058
65,0.0012875911615271018
66,-0.03051740385111945
67,0.001560256176051933
68,0.03881328053111388
69,0.006948428314552446
70,-0.009676904942656606
71,-0.014486712131301926
72,-0.013693554795921381
73,-0.03051365855317678
74,0.015541635028762935
75,0.011270879215326657
76,-0.030538061557165208
77,-0.004787850268810789
78,-0.010327224175384009
79,-0.030440796251240743
80,0.03469425629782075
81,-0.030513614514858123
82,-0.03530645322129744
83,-0.030440059150423915
84,0.065478402786181
85,0.03756215726817658
86,-0.02404464453969679
87,-0.012457711059437826
88,-0.030560940135431314
89,-0.030561756720193456
90,0.059383906594381086
91,0.05761712770861682
92,0.013549366992413825
93,-0.030528131461817765
94,-0.030499845581005824
95,0.059512802653800545
96,0.014674734937296874
97,0.025909967662999023
98,-0.010524487299115481
99,0.004003078786355196
100,0.02934123084596507
101,0.017430973005921224
102,0.04147112737114478
103,0.028456677264448782
104,0.02140690497330855
105,-0.03046140548582721
106,0.04080035710880425
107,-0.023515335642428914
108,-0.006940186229510759
109,0.0009437301998067582
110,0.030271685667528914
111,0.0028156835195196628
112,-0.030496005243333957
113,0.011012389936588152
114,-0.020704703450779793
115,-0.01891839896959291
116,0.006001619138809922
117,0.020241621019857714
118,-0.030483456418599064
119,-0.030453403298439596
120,0.050033266322261793
121,0.046485925249794224
122,-0.03045082324453474
123,0.0451003939142367
124,-0.01023492909784196
125,0.006208513215907763
126,0.019922842348579772
127,0.01416779584569361
128,-0.018662810937282837
129,-1.4908772347554944e-05
130,0.006192095638042794
131,0.030807421691432912
132,-0.01569526428808732
133,0.0022043341206730016
134,-0.005783822960101381
135,0.0025346539102257815
136,0.02295942967217246
137,0.044231463088461265
138,0.005870360288965593
139,-0.008932392775016007
140,0.018532892338166906
141,0.005675959183244927
142,-0.020376268538567666
143,-0.008467031174535844
144,-0.00862961747223967
145,0.01916314047588097
146,0.02623858648633237
147,0.004548882019943079
148,-0.012039909473205102
149,0.01751440490014211
150,-0.010158862612147268
151,0.010885539508035835
152,0.00919715496002671
153,-0.009397882766172039
154,0.0065942475644236165
155,0.010615744521928816
156,0.03343224562633296
157,0.059447102801596596
158,0.008288354409067944
159,-0.0021349848491021284
160,0.03240932110405792
161,0.01681272080541718
162,0.0031145422389156074
163,0.007177818668524072
164,0.013844140922626869
